authors,title,journal,volume,issue,year,pages,issn,doi,url,keywords,source_file,source_priority,doi_normalized,title_normalized,record_id,screening_stage,decision,exclusion_reason,is_survey,include_title_abstract,include_full_text,final_include
B. Shukhratov; S. Baydadaev; J. W. Kwon,Efficient LLM Adaptation to Low-Resource Languages via Cross-Lingual Semantic Anchoring,IEEE Access,14,,2026.0,55331-55344,2169-3536,10.1109/ACCESS.2026.3679427,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11458819,Cross-lingual transfer;embedding initialization;language adaptation;large language models (LLMs);low-resource languages;tokenization,IEEE_results.csv,3,10.1109/access.2026.3679427,efficient llm adaptation to lowresource languages via crosslingual semantic anchoring,295,Excluded,Excluded,Duplicate DOI,False,,,
G. Kim; M. Kim; B. Kim; H. Lim,CBITS: Crypto BERT Incorporated Trading System,IEEE Access,11,,2023.0,6912-6921,2169-3536,10.1109/ACCESS.2023.3236032,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10014986,Cryptocurrency;Korean pre-trained language model;sentiment analysis;bitcoin trading models;agglutinative language,IEEE_results.csv,3,10.1109/access.2023.3236032,cbits crypto bert incorporated trading system,297,Excluded,Excluded,Duplicate DOI,False,,,
Y. Wang; J. Zhang; T. Shi; D. Deng; Y. Tian; T. Matsumoto,Recent Advances in Interactive Machine Translation With Large Language Models,IEEE Access,12,,2024.0,179353-179382,2169-3536,10.1109/ACCESS.2024.3487352,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10737082,Machine translation;large language models;pre-trained language model;in-context learning;post-editing,IEEE_results.csv,3,10.1109/access.2024.3487352,recent advances in interactive machine translation with large language models,299,Excluded,Excluded,Duplicate DOI,False,,,
P. K. U. I. Sandaruwan; N. M. A. Fonseka; P. C. Salwathura; D. S. Alwis; C. Wanigasekara; L. Velmanickam,End-to-End Adaptation of LLMs for Low-Resource Languages,IEEE Access,14,,2026.0,74553-74565,2169-3536,10.1109/ACCESS.2026.3693119,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11517384,Continued pre-training;data scarcity;large language models (LLMs);LoRA fine-tuning;low-resource languages;quantization;Sinhala language processing;transfer learning,IEEE_results.csv,3,10.1109/access.2026.3693119,endtoend adaptation of llms for lowresource languages,300,Excluded,Excluded,Duplicate DOI,False,,,
D. Refai; M. S. Al-Shaibani; I. Ahmad,Is This the Best Prompt? Scoring Prompts for Arabic NLP Across LLMs,IEEE Access,13,,2025.0,171468-171492,2169-3536,10.1109/ACCESS.2025.3616181,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11184831,Arabic;natural language processing;NLP;prompt engineering;prompt design;prompt scoring;large language models;LLMs,IEEE_results.csv,3,10.1109/access.2025.3616181,is this the best prompt scoring prompts for arabic nlp across llms,301,Excluded,Excluded,Duplicate DOI,False,,,
M. Ahmad; H. Farid; I. Ameer; F. Ullah; M. Muzamil; M. Jalal; A. Hamza; I. Batyrshin; G. Sidorov,UE-NER-2025: A GPT-Based Approach to Multi-Lingual Named Entity Recognition on Urdu and English,IEEE Access,13,,2025.0,111175-111186,2169-3536,10.1109/ACCESS.2025.3579289,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11036786,Social media analysis;named entity recognition;LLM;GPT;deep learning;machine learning;SVM;twitter;Urdu text mining,IEEE_results.csv,3,10.1109/access.2025.3579289,uener2025 a gptbased approach to multilingual named entity recognition on urdu and english,302,Excluded,Excluded,Duplicate DOI,False,,,
A. Onan; A. H. Nasution; T. Celikten,Toward Reliable Annotation in Low-Resource NLP: A Mixture of Agents Framework and Multi-LLM Benchmarking,IEEE Access,13,,2025.0,211620-211644,2169-3536,10.1109/ACCESS.2025.3643829,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11299523,Annotation quality;large language models;low-resource languages;mixture of agents;multilingual natural language processing;natural language understanding;text classification,IEEE_results.csv,3,10.1109/access.2025.3643829,toward reliable annotation in lowresource nlp a mixture of agents framework and multillm benchmarking,303,Excluded,Excluded,Duplicate DOI,False,,,
M. Z. Ansari; N. Saini; K. Zervoudakis; D. Oliva; M. Pérez-Cisneros,MPLUM: A LLM-Assisted Multi-Objective Prompt Learning for High-Quality English-Urdu Summarization,IEEE Access,14,,2026.0,65292-65314,2169-3536,10.1109/ACCESS.2026.3666211,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11399879,Prompt optimization;large language models;multi-objective optimization;genetic algorithm;text summarization;natural language processing,IEEE_results.csv,3,10.1109/access.2026.3666211,mplum a llmassisted multiobjective prompt learning for highquality englishurdu summarization,304,Excluded,Excluded,Duplicate DOI,False,,,
M. S. M. Bhuyan; E. Hossain; K. A. Sathi; M. A. Hossain; M. A. A. Dewan,BVQA: Connecting Language and Vision Through Multimodal Attention for Open-Ended Question Answering,IEEE Access,13,,2025.0,27570-27586,2169-3536,10.1109/ACCESS.2025.3540388,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10878995,Visual question answering;multimodal deep learning;large language model;natural language processing;multi-head attention mechanism,IEEE_results.csv,3,10.1109/access.2025.3540388,bvqa connecting language and vision through multimodal attention for openended question answering,305,Excluded,Excluded,Duplicate DOI,False,,,
Y. Evren Aykaç; M. Ozkan; R. Samet,Morpheme-Aware Hybrid Sentiment Analysis for Azerbaijani: A Lexicon–Embedding Fusion With Domain Adaptation,IEEE Access,14,,2026.0,18828-18856,2169-3536,10.1109/ACCESS.2026.3659042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11366666,Sentiment analysis;Azerbaijani;low-resource languages;polarity lexicon;morphology-aware classification;domain adaptation;neutral-class calibration;parameter-efficient fine-tuning,IEEE_results.csv,3,10.1109/access.2026.3659042,morphemeaware hybrid sentiment analysis for azerbaijani a lexiconembedding fusion with domain adaptation,306,Excluded,Excluded,Duplicate DOI,False,,,
